id_prueba,timestamp,modo,tipo de evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,acierto,notas
1,2025-12-28T15:53:54.092797,MOBILE,testConnection,3,,LED,,starting,,00:00:00.000,,
2,2025-12-28T15:53:55.778670,MOBILE,testConnection,3,,LED,,finished status=200,,00:00:01.685,,
3,2025-12-28T15:54:13.656832,MOBILE,initialize,3,,LED,,starting,,00:00:17.878,,
4,2025-12-28T15:54:14.181818,MOBILE,initialize,3,,LED,,finished,,00:00:00.524,,
5,2025-12-28T15:54:15.555614,MOBILE,capture,3,,LED,,starting,,00:00:01.373,,
6,2025-12-28T15:54:15.818793,MOBILE,capture,3,,LED,,finished (15987 bytes),,00:00:00.263,,
7,2025-12-28T15:54:15.841606,MOBILE,detectScene,3,,LED,,starting,,00:00:00.022,,
8,2025-12-28T15:54:16.348259,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.506,,
9,2025-12-28T15:54:16.675048,MOBILE,running inference,3,,LED,,,,00:00:00.326,,
10,2025-12-28T15:54:22.967158,MOBILE,finished inference,3,,LED,,,,00:00:06.292,,
11,2025-12-28T15:54:23.042179,MOBILE,classFrequency,3,,LED,,error: no known object/class was found,,00:00:00.075,,error: no known object/class was found
12,2025-12-28T15:54:23.058406,MOBILE,result,3,,LED,,unknown,0.000,00:00:00.016,,
13,2025-12-28T15:54:23.066551,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.008,,
14,2025-12-28T15:54:23.074805,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.008,,
15,2025-12-28T15:54:23.099517,MOBILE,converted output to speech,3,,LED,,,,00:00:00.024,,
16,2025-12-28T15:54:27.267301,MOBILE,capture,3,,LED,,starting,,00:00:04.167,,
17,2025-12-28T15:54:27.391680,MOBILE,capture,3,,LED,,finished (16008 bytes),,00:00:00.124,,
18,2025-12-28T15:54:27.405794,MOBILE,detectScene,3,,LED,,starting,,00:00:00.014,,
19,2025-12-28T15:54:27.588804,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.183,,
20,2025-12-28T15:54:27.963401,MOBILE,running inference,3,,LED,,,,00:00:00.374,,
21,2025-12-28T15:54:33.577989,MOBILE,finished inference,3,,LED,,,,00:00:05.614,,
22,2025-12-28T15:54:33.643415,MOBILE,classFrequency,3,,LED,,error: no known object/class was found,,00:00:00.065,,error: no known object/class was found
23,2025-12-28T15:54:33.661643,MOBILE,result,3,,LED,,unknown,0.000,00:00:00.018,,
24,2025-12-28T15:54:33.684964,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.023,,
25,2025-12-28T15:54:33.689957,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.004,,
26,2025-12-28T15:54:33.706248,MOBILE,converted output to speech,3,,LED,,,,00:00:00.016,,
27,2025-12-28T15:54:38.234131,MOBILE,capture,3,,LED,,starting,,00:00:04.527,,
28,2025-12-28T15:54:38.462913,MOBILE,capture,3,,LED,,finished (21668 bytes),,00:00:00.228,,
29,2025-12-28T15:54:38.467709,MOBILE,detectScene,3,,LED,,starting,,00:00:00.004,,
30,2025-12-28T15:54:38.728062,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.260,,
31,2025-12-28T15:54:38.950472,MOBILE,running inference,3,,LED,,,,00:00:00.222,,
32,2025-12-28T15:54:44.475539,MOBILE,finished inference,3,,LED,,,,00:00:05.525,,
33,2025-12-28T15:54:44.510736,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.035,,
34,2025-12-28T15:54:44.514749,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 3.51% | Pixels: 9504/270400,,00:00:00.004,,
35,2025-12-28T15:54:44.517646,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
36,2025-12-28T15:54:44.532999,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 3.5%)",,00:00:00.015,,
37,2025-12-28T15:54:44.547186,MOBILE,result,3,,LED,,person,0.035,00:00:00.014,,
38,2025-12-28T15:54:44.551087,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.003,,
39,2025-12-28T15:54:44.555902,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.004,,
40,2025-12-28T15:54:44.566533,MOBILE,converted output to speech,3,,LED,,,,00:00:00.010,,
41,2025-12-28T15:54:48.351748,MOBILE,capture,3,,LED,,starting,,00:00:03.785,,
