T+00:01:01.448 | CAMERA | Image captured: 1024x768, 15987 bytes
T+00:01:13.050 | CAMERA | Image captured: 1024x768, 16008 bytes
T+00:01:24.124 | CAMERA | Image captured: 1024x768, 21668 bytes
T+00:01:34.196 | CAMERA | Image captured: 1024x768, 20228 bytes
T+00:01:47.280 | CAMERA | Image captured: 1024x768, 21801 bytes
T+00:01:54.933 | CAMERA | Image captured: 1024x768, 21851 bytes
T+00:02:05.024 | CAMERA | Image captured: 1024x768, 22834 bytes
T+00:02:15.102 | CAMERA | Image captured: 1024x768, 24454 bytes
T+00:03:30.311 | CAMERA | Image captured: 1024x768, 22733 bytes
T+00:03:31.878 | CAMERA | Image captured: 1024x768, 22577 bytes
T+00:03:32.934 | CAMERA | Image captured: 1024x768, 25882 bytes
T+00:03:34.002 | CAMERA | Image captured: 1024x768, 25470 bytes
T+00:03:35.133 | CAMERA | Image captured: 1024x768, 25357 bytes
T+00:03:36.198 | CAMERA | Image captured: 1024x768, 24741 bytes
T+00:03:37.257 | CAMERA | Image captured: 1024x768, 24328 bytes
T+00:03:39.313 | CAMERA | Image captured: 1024x768, 25064 bytes
T+00:03:40.881 | CAMERA | Image captured: 1024x768, 25104 bytes
T+00:03:41.948 | CAMERA | Image captured: 1024x768, 23183 bytes
T+00:03:43.010 | CAMERA | Image captured: 1024x768, 25189 bytes
T+00:03:44.084 | CAMERA | Image captured: 1024x768, 24359 bytes
T+00:03:45.156 | CAMERA | Image captured: 1024x768, 24479 bytes
T+00:03:46.222 | CAMERA | Image captured: 1024x768, 24816 bytes
T+00:03:47.297 | CAMERA | Image captured: 1024x768, 24942 bytes
T+00:03:48.867 | CAMERA | Image captured: 1024x768, 24784 bytes
T+00:03:49.938 | CAMERA | Image captured: 1024x768, 24228 bytes
T+00:03:53.495 | CAMERA | Image captured: 1024x768, 24390 bytes
T+00:03:54.557 | CAMERA | Image captured: 1024x768, 24945 bytes
T+00:03:56.620 | CAMERA | Image captured: 1024x768, 24588 bytes
T+00:04:13.707 | CAMERA | Image captured: 1024x768, 24424 bytes
T+00:04:14.765 | CAMERA | Image captured: 1024x768, 25390 bytes
T+00:04:15.827 | CAMERA | Image captured: 1024x768, 22522 bytes
T+00:04:16.881 | CAMERA | Image captured: 1024x768, 23251 bytes
T+00:04:18.034 | CAMERA | Image captured: 1024x768, 24688 bytes
T+00:04:19.658 | CAMERA | Image captured: 1024x768, 25079 bytes
T+00:04:20.229 | CAMERA | Image captured: 1024x768, 26971 bytes
T+00:04:22.290 | CAMERA | Image captured: 1024x768, 27224 bytes
T+00:04:24.350 | CAMERA | Image captured: 1024x768, 27345 bytes
T+00:04:25.411 | CAMERA | Image captured: 1024x768, 27068 bytes
T+00:04:26.495 | CAMERA | Image captured: 1024x768, 25489 bytes
T+00:04:27.753 | CAMERA | Image captured: 1024x768, 25430 bytes
T+00:04:33.822 | CAMERA | Image captured: 1024x768, 25749 bytes
T+00:07:24.720 | CAMERA | Image captured: 1024x768, 25334 bytes
T+00:07:25.773 | CAMERA | Image captured: 1024x768, 24655 bytes
T+00:07:26.854 | CAMERA | Image captured: 1024x768, 24157 bytes
T+00:07:29.918 | CAMERA | Image captured: 1024x768, 25962 bytes
T+00:07:30.993 | CAMERA | Image captured: 1024x768, 24641 bytes
T+00:07:32.058 | CAMERA | Image captured: 1024x768, 26281 bytes
T+00:07:33.617 | CAMERA | Image captured: 1024x768, 28338 bytes
T+00:07:34.742 | CAMERA | Image captured: 1024x768, 27177 bytes
T+00:07:37.345 | CAMERA | Image captured: 1024x768, 27088 bytes
T+00:07:41.909 | CAMERA | Image captured: 1024x768, 28812 bytes
T+00:07:42.973 | CAMERA | Image captured: 1024x768, 27950 bytes
T+00:07:44.039 | CAMERA | Image captured: 1024x768, 23920 bytes
T+00:07:45.593 | CAMERA | Image captured: 1024x768, 25262 bytes
T+00:07:47.153 | CAMERA | Image captured: 1024x768, 25125 bytes
T+00:07:49.257 | CAMERA | Image captured: 1024x768, 24550 bytes
T+00:07:51.323 | CAMERA | Image captured: 1024x768, 25172 bytes
T+00:07:52.387 | CAMERA | Image captured: 1024x768, 25593 bytes
T+00:07:53.968 | CAMERA | Image captured: 1024x768, 26371 bytes
T+00:07:55.531 | CAMERA | Image captured: 1024x768, 25421 bytes
T+00:07:56.635 | CAMERA | Image captured: 1024x768, 27775 bytes
T+00:07:58.237 | CAMERA | Image captured: 1024x768, 26904 bytes
T+00:07:59.797 | CAMERA | Image captured: 1024x768, 25227 bytes
T+00:08:01.457 | CAMERA | Image captured: 1024x768, 26900 bytes
T+00:08:02.597 | CAMERA | Image captured: 1024x768, 26334 bytes
T+00:08:05.163 | CAMERA | Image captured: 1024x768, 28540 bytes
T+00:08:11.294 | CAMERA | Image captured: 1024x768, 27514 bytes
T+00:08:21.948 | CAMERA | Image captured: 1024x768, 26963 bytes
T+00:11:21.873 | CAMERA | Image captured: 1024x768, 27429 bytes
T+00:11:22.932 | CAMERA | Image captured: 1024x768, 27858 bytes
T+00:11:23.995 | CAMERA | Image captured: 1024x768, 29353 bytes
T+00:11:25.556 | CAMERA | Image captured: 1024x768, 29277 bytes
T+00:11:27.634 | CAMERA | Image captured: 1024x768, 29431 bytes
T+00:11:28.702 | CAMERA | Image captured: 1024x768, 28706 bytes
T+00:11:29.772 | CAMERA | Image captured: 1024x768, 27857 bytes
T+00:11:31.352 | CAMERA | Image captured: 1024x768, 28359 bytes
T+00:11:33.012 | CAMERA | Image captured: 1024x768, 29348 bytes
T+00:11:34.153 | CAMERA | Image captured: 1024x768, 27380 bytes
T+00:11:35.725 | CAMERA | Image captured: 1024x768, 27497 bytes
T+00:11:37.315 | CAMERA | Image captured: 1024x768, 28347 bytes
T+00:11:39.383 | CAMERA | Image captured: 1024x768, 30307 bytes
T+00:11:40.503 | CAMERA | Image captured: 1024x768, 27798 bytes
T+00:11:42.587 | CAMERA | Image captured: 1024x768, 29316 bytes
T+00:11:45.165 | CAMERA | Image captured: 1024x768, 30199 bytes
T+00:11:51.237 | CAMERA | Image captured: 1024x768, 29977 bytes
T+00:12:00.822 | CAMERA | Image captured: 1024x768, 30290 bytes
T+00:12:12.442 | CAMERA | Image captured: 1024x768, 28106 bytes
T+00:15:06.856 | CAMERA | Image captured: 1024x768, 29278 bytes
T+00:15:08.920 | CAMERA | Image captured: 1024x768, 28341 bytes
T+00:15:09.978 | CAMERA | Image captured: 1024x768, 27391 bytes
T+00:15:11.033 | CAMERA | Image captured: 1024x768, 31087 bytes
T+00:15:12.106 | CAMERA | Image captured: 1024x768, 30699 bytes
T+00:15:13.176 | CAMERA | Image captured: 1024x768, 31978 bytes
T+00:15:19.249 | CAMERA | Image captured: 1024x768, 31985 bytes
T+00:15:36.349 | CAMERA | Image captured: 1024x768, 30600 bytes
T+00:15:45.435 | CAMERA | Image captured: 1024x768, 30907 bytes
T+00:15:53.523 | CAMERA | Image captured: 1024x768, 31808 bytes
T+00:16:01.635 | CAMERA | Image captured: 1024x768, 31315 bytes
T+00:16:09.228 | CAMERA | Image captured: 1024x768, 32325 bytes
T+00:16:17.320 | CAMERA | Image captured: 1024x768, 32257 bytes
T+00:16:30.915 | CAMERA | Image captured: 1024x768, 32020 bytes
T+00:19:05.805 | CAMERA | Image captured: 1024x768, 34647 bytes
T+00:19:07.871 | CAMERA | Image captured: 1024x768, 32606 bytes
T+00:19:08.935 | CAMERA | Image captured: 1024x768, 28263 bytes
T+00:19:10.005 | CAMERA | Image captured: 1024x768, 27766 bytes
T+00:19:11.572 | CAMERA | Image captured: 1024x768, 29963 bytes
T+00:19:14.727 | CAMERA | Image captured: 1024x768, 27775 bytes
T+00:19:17.289 | CAMERA | Image captured: 1024x768, 25547 bytes
T+00:19:18.352 | CAMERA | Image captured: 1024x768, 30133 bytes
