T+00:02:24.641 | CAMERA | Image captured: 1024x768, 15987 bytes
T+00:02:26.227 | CAMERA | Image captured: 1024x768, 15987 bytes
T+00:02:27.287 | CAMERA | Image captured: 1024x768, 23190 bytes
T+00:02:28.339 | CAMERA | Image captured: 1024x768, 28261 bytes
T+00:02:29.412 | CAMERA | Image captured: 1024x768, 25052 bytes
T+00:02:30.477 | CAMERA | Image captured: 1024x768, 22998 bytes
T+00:02:31.539 | CAMERA | Image captured: 1024x768, 24395 bytes
T+00:02:32.616 | CAMERA | Image captured: 1024x768, 29398 bytes
T+00:02:38.695 | CAMERA | Image captured: 1024x768, 25858 bytes
T+00:03:06.319 | CAMERA | Image captured: 1024x768, 28675 bytes
T+00:03:23.415 | CAMERA | Image captured: 1024x768, 22181 bytes
T+00:03:37.998 | CAMERA | Image captured: 1024x768, 24920 bytes
T+00:03:52.602 | CAMERA | Image captured: 1024x768, 28174 bytes
T+00:04:06.692 | CAMERA | Image captured: 1024x768, 26583 bytes
T+00:04:41.317 | CAMERA | Image captured: 1024x768, 28088 bytes
T+00:04:56.411 | CAMERA | Image captured: 1024x768, 28007 bytes
T+00:05:10.025 | CAMERA | Image captured: 1024x768, 26509 bytes
T+00:05:28.640 | CAMERA | Image captured: 1024x768, 27839 bytes
T+00:05:43.226 | CAMERA | Image captured: 1024x768, 29004 bytes
T+00:06:19.885 | CAMERA | Image captured: 1024x768, 29051 bytes
T+00:06:34.984 | CAMERA | Image captured: 1024x768, 28979 bytes
T+00:06:49.072 | CAMERA | Image captured: 1024x768, 26784 bytes
T+00:07:02.673 | CAMERA | Image captured: 1024x768, 26466 bytes
T+00:07:16.765 | CAMERA | Image captured: 1024x768, 26740 bytes
T+00:07:30.846 | CAMERA | Image captured: 1024x768, 27025 bytes
T+00:07:44.443 | CAMERA | Image captured: 1024x768, 27253 bytes
T+00:07:58.555 | CAMERA | Image captured: 1024x768, 27503 bytes
T+00:08:14.155 | CAMERA | Image captured: 1024x768, 27688 bytes
T+00:10:22.980 | CAMERA | Image captured: 1024x768, 27551 bytes
T+00:10:39.082 | CAMERA | Image captured: 1024x768, 27070 bytes
T+00:10:56.184 | CAMERA | Image captured: 1024x768, 28592 bytes
T+00:11:11.291 | CAMERA | Image captured: 1024x768, 27024 bytes
T+00:11:27.388 | CAMERA | Image captured: 1024x768, 27763 bytes

T+00:00:51.773 | CAMERA | Image captured: 1024x768, 16345 bytes
T+00:01:08.360 | CAMERA | Image captured: 1024x768, 16669 bytes
T+00:01:23.941 | CAMERA | Image captured: 1024x768, 22234 bytes
T+00:01:38.532 | CAMERA | Image captured: 1024x768, 24480 bytes
T+00:01:52.618 | CAMERA | Image captured: 1024x768, 25724 bytes
T+00:02:07.211 | CAMERA | Image captured: 1024x768, 26478 bytes
T+00:02:20.797 | CAMERA | Image captured: 1024x768, 26908 bytes
