T+00:00:22.533 | CAMERA | Image captured: 640x480, 15808 bytes
T+00:00:24.589 | CAMERA | Image captured: 640x480, 16348 bytes
T+00:00:31.309 | CAMERA | Image captured: 1024x768, 16552 bytes
T+00:00:32.865 | CAMERA | Image captured: 1024x768, 18586 bytes
T+00:00:33.923 | CAMERA | Image captured: 1024x768, 23688 bytes
T+00:00:34.981 | CAMERA | Image captured: 1024x768, 23698 bytes
T+00:00:36.047 | CAMERA | Image captured: 1024x768, 27937 bytes
T+00:00:37.113 | CAMERA | Image captured: 1024x768, 24438 bytes
T+00:00:38.180 | CAMERA | Image captured: 1024x768, 26257 bytes
T+00:00:39.251 | CAMERA | Image captured: 1024x768, 29629 bytes
T+00:00:40.324 | CAMERA | Image captured: 1024x768, 32055 bytes
T+00:00:42.397 | CAMERA | Image captured: 1024x768, 38595 bytes
T+00:00:44.475 | CAMERA | Image captured: 1024x768, 36643 bytes
T+00:00:45.853 | CAMERA | Image captured: 1024x768, 47804 bytes
T+00:00:46.970 | CAMERA | Image captured: 1024x768, 39746 bytes
T+00:00:49.056 | CAMERA | Image captured: 1024x768, 47017 bytes
T+00:00:50.167 | CAMERA | Image captured: 1024x768, 53804 bytes
T+00:00:51.767 | CAMERA | Image captured: 1024x768, 49704 bytes
T+00:00:53.345 | CAMERA | Image captured: 1024x768, 46737 bytes
T+00:00:55.958 | CAMERA | Image captured: 1024x768, 44774 bytes
T+00:00:58.049 | CAMERA | Image captured: 1024x768, 51752 bytes
T+00:00:59.166 | CAMERA | Image captured: 1024x768, 48475 bytes
T+00:01:00.788 | CAMERA | Image captured: 1024x768, 42139 bytes
T+00:01:01.869 | CAMERA | Image captured: 1024x768, 43912 bytes
T+00:01:02.952 | CAMERA | Image captured: 1024x768, 49068 bytes
T+00:01:15.741 | CAMERA | Image captured: 1024x768, 20720 bytes
T+00:01:29.817 | CAMERA | Image captured: 1024x768, 27405 bytes
T+00:01:41.406 | CAMERA | Image captured: 1024x768, 39958 bytes
T+00:01:52.007 | CAMERA | Image captured: 1024x768, 37171 bytes
T+00:01:59.099 | CAMERA | Image captured: 1024x768, 35845 bytes
T+00:02:05.698 | CAMERA | Image captured: 1024x768, 39435 bytes
T+00:02:11.291 | CAMERA | Image captured: 1024x768, 40116 bytes
T+00:02:16.403 | CAMERA | Image captured: 1024x768, 36664 bytes
T+00:02:22.011 | CAMERA | Image captured: 1024x768, 37698 bytes
T+00:02:27.609 | CAMERA | Image captured: 1024x768, 39270 bytes
T+00:02:33.208 | CAMERA | Image captured: 1024x768, 38192 bytes
T+00:02:40.289 | CAMERA | Image captured: 1024x768, 38986 bytes
T+00:02:48.385 | CAMERA | Image captured: 1024x768, 38403 bytes
T+00:02:53.994 | CAMERA | Image captured: 1024x768, 38145 bytes
T+00:03:00.581 | CAMERA | Image captured: 1024x768, 39567 bytes
T+00:03:07.682 | CAMERA | Image captured: 1024x768, 40178 bytes
T+00:03:12.271 | CAMERA | Image captured: 1024x768, 40584 bytes
T+00:03:17.361 | CAMERA | Image captured: 1024x768, 42631 bytes
T+00:03:22.464 | CAMERA | Image captured: 1024x768, 30993 bytes
T+00:03:27.039 | CAMERA | Image captured: 1024x768, 34382 bytes
T+00:03:30.621 | CAMERA | Image captured: 1024x768, 33839 bytes
T+00:03:34.711 | CAMERA | Image captured: 1024x768, 33443 bytes
T+00:03:39.789 | CAMERA | Image captured: 1024x768, 36920 bytes
T+00:03:48.407 | CAMERA | Image captured: 1024x768, 33762 bytes
T+00:03:53.000 | CAMERA | Image captured: 1024x768, 36125 bytes
T+00:03:58.603 | CAMERA | Image captured: 1024x768, 38248 bytes
T+00:04:03.205 | CAMERA | Image captured: 1024x768, 42204 bytes
T+00:04:09.295 | CAMERA | Image captured: 1024x768, 39944 bytes
T+00:04:14.406 | CAMERA | Image captured: 1024x768, 39892 bytes
T+00:04:19.513 | CAMERA | Image captured: 1024x768, 37817 bytes
T+00:04:26.168 | CAMERA | Image captured: 1024x768, 44034 bytes
T+00:04:32.257 | CAMERA | Image captured: 1024x768, 44331 bytes
T+00:04:37.350 | CAMERA | Image captured: 1024x768, 45677 bytes
T+00:04:42.445 | CAMERA | Image captured: 1024x768, 34727 bytes
T+00:04:47.515 | CAMERA | Image captured: 1024x768, 37903 bytes
T+00:04:51.114 | CAMERA | Image captured: 1024x768, 37779 bytes
T+00:04:55.199 | CAMERA | Image captured: 1024x768, 36103 bytes
T+00:04:59.285 | CAMERA | Image captured: 1024x768, 34785 bytes
T+00:05:03.381 | CAMERA | Image captured: 1024x768, 35352 bytes
T+00:05:07.462 | CAMERA | Image captured: 1024x768, 36753 bytes
