T+00:00:35.751 | CAMERA | Image captured: 1024x768, 17391 bytes
T+00:00:44.845 | CAMERA | Image captured: 1024x768, 17883 bytes
T+00:00:55.452 | CAMERA | Image captured: 1024x768, 36461 bytes
T+00:01:04.036 | CAMERA | Image captured: 1024x768, 28440 bytes
T+00:01:12.699 | CAMERA | Image captured: 1024x768, 28329 bytes
T+00:01:20.780 | CAMERA | Image captured: 1024x768, 27724 bytes
T+00:01:39.381 | CAMERA | Image captured: 1024x768, 33311 bytes
T+00:01:47.030 | CAMERA | Image captured: 1024x768, 33860 bytes
T+00:01:54.617 | CAMERA | Image captured: 1024x768, 31104 bytes
T+00:02:05.713 | CAMERA | Image captured: 1024x768, 29858 bytes
T+00:02:14.831 | CAMERA | Image captured: 1024x768, 32205 bytes
T+00:02:22.411 | CAMERA | Image captured: 1024x768, 31093 bytes
T+00:02:30.518 | CAMERA | Image captured: 1024x768, 34524 bytes
T+00:02:39.617 | CAMERA | Image captured: 1024x768, 34166 bytes
T+00:02:52.718 | CAMERA | Image captured: 1024x768, 33845 bytes
T+00:03:00.809 | CAMERA | Image captured: 1024x768, 32559 bytes
T+00:03:09.407 | CAMERA | Image captured: 1024x768, 23350 bytes
T+00:03:18.476 | CAMERA | Image captured: 1024x768, 26341 bytes
T+00:03:28.064 | CAMERA | Image captured: 1024x768, 25876 bytes
T+00:03:37.675 | CAMERA | Image captured: 1024x768, 25283 bytes
T+00:06:38.320 | CAMERA | Image captured: 1024x768, 16024 bytes
T+00:06:47.389 | CAMERA | Image captured: 1024x768, 16045 bytes
T+00:06:56.963 | CAMERA | Image captured: 1024x768, 31784 bytes
T+00:07:05.567 | CAMERA | Image captured: 1024x768, 38796 bytes
T+00:07:13.174 | CAMERA | Image captured: 1024x768, 39690 bytes
T+00:07:22.779 | CAMERA | Image captured: 1024x768, 34536 bytes
T+00:07:31.873 | CAMERA | Image captured: 1024x768, 32841 bytes
T+00:07:40.974 | CAMERA | Image captured: 1024x768, 39226 bytes
T+00:07:49.075 | CAMERA | Image captured: 1024x768, 39498 bytes
T+00:07:57.211 | CAMERA | Image captured: 1024x768, 41292 bytes
T+00:08:05.402 | CAMERA | Image captured: 1024x768, 40405 bytes
T+00:08:13.002 | CAMERA | Image captured: 1024x768, 40590 bytes
T+00:08:22.126 | CAMERA | Image captured: 1024x768, 40034 bytes
T+00:08:30.709 | CAMERA | Image captured: 1024x768, 36400 bytes
T+00:08:38.806 | CAMERA | Image captured: 1024x768, 37811 bytes
T+00:08:47.475 | CAMERA | Image captured: 1024x768, 37631 bytes
T+00:08:55.075 | CAMERA | Image captured: 1024x768, 35141 bytes
T+00:09:02.744 | CAMERA | Image captured: 1024x768, 32639 bytes
T+00:09:11.330 | CAMERA | Image captured: 1024x768, 41140 bytes
T+00:09:20.435 | CAMERA | Image captured: 1024x768, 41412 bytes
T+00:09:28.537 | CAMERA | Image captured: 1024x768, 41020 bytes
T+00:09:36.663 | CAMERA | Image captured: 1024x768, 40967 bytes
T+00:09:44.267 | CAMERA | Image captured: 1024x768, 37377 bytes
T+00:09:53.886 | CAMERA | Image captured: 1024x768, 43868 bytes
T+00:10:02.489 | CAMERA | Image captured: 1024x768, 44991 bytes
T+00:10:10.589 | CAMERA | Image captured: 1024x768, 42361 bytes
T+00:10:19.186 | CAMERA | Image captured: 1024x768, 31844 bytes
T+00:10:28.275 | CAMERA | Image captured: 1024x768, 37672 bytes
T+00:10:37.372 | CAMERA | Image captured: 1024x768, 39155 bytes
T+00:10:45.475 | CAMERA | Image captured: 1024x768, 42301 bytes
T+00:10:53.072 | CAMERA | Image captured: 1024x768, 37414 bytes
T+00:11:01.666 | CAMERA | Image captured: 1024x768, 38836 bytes
T+00:11:09.250 | CAMERA | Image captured: 1024x768, 44978 bytes
T+00:11:17.839 | CAMERA | Image captured: 1024x768, 40776 bytes
T+00:11:25.919 | CAMERA | Image captured: 1024x768, 42572 bytes
T+00:11:36.551 | CAMERA | Image captured: 1024x768, 35118 bytes
T+00:11:46.143 | CAMERA | Image captured: 1024x768, 39239 bytes
T+00:11:55.248 | CAMERA | Image captured: 1024x768, 32254 bytes
T+00:12:04.339 | CAMERA | Image captured: 1024x768, 33642 bytes
T+00:12:13.932 | CAMERA | Image captured: 1024x768, 34693 bytes
T+00:12:23.622 | CAMERA | Image captured: 1024x768, 34172 bytes
T+00:12:34.349 | CAMERA | Image captured: 1024x768, 37843 bytes
T+00:12:42.456 | CAMERA | Image captured: 1024x768, 36155 bytes
T+00:12:50.562 | CAMERA | Image captured: 1024x768, 37172 bytes
T+00:12:59.693 | CAMERA | Image captured: 1024x768, 37860 bytes
T+00:13:08.292 | CAMERA | Image captured: 1024x768, 30894 bytes
T+00:13:16.892 | CAMERA | Image captured: 1024x768, 32560 bytes
T+00:13:25.991 | CAMERA | Image captured: 1024x768, 35040 bytes
T+00:13:40.092 | CAMERA | Image captured: 1024x768, 32577 bytes
T+00:13:48.190 | CAMERA | Image captured: 1024x768, 35779 bytes
T+00:13:58.276 | CAMERA | Image captured: 1024x768, 33873 bytes
T+00:14:55.468 | CAMERA | Image captured: 1024x768, 32593 bytes
T+00:15:06.114 | CAMERA | Image captured: 1024x768, 31185 bytes
T+00:15:16.204 | CAMERA | Image captured: 1024x768, 27481 bytes
T+00:15:24.286 | CAMERA | Image captured: 1024x768, 28802 bytes
T+00:15:35.881 | CAMERA | Image captured: 1024x768, 28654 bytes
T+00:00:21.638 | CAMERA | Image captured: 640x480, 17913 bytes
T+00:00:26.669 | CAMERA | Image captured: 640x480, 23134 bytes
T+00:00:36.216 | CAMERA | Image captured: 640x480, 30508 bytes
T+00:00:55.509 | CAMERA | Image captured: 1024x768, 16900 bytes
T+00:01:12.092 | CAMERA | Image captured: 1024x768, 18743 bytes
T+00:01:18.160 | CAMERA | Image captured: 1024x768, 31328 bytes
T+00:01:24.734 | CAMERA | Image captured: 1024x768, 32153 bytes
T+00:01:30.857 | CAMERA | Image captured: 1024x768, 37002 bytes
